1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
←,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
←,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
←,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,←,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,←,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,←,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
1,44.0933
2,1.788471
3,0.7145844
4,0.8472939
5,0.8728409
6,0.795948
7,0.7557144
8,0.8684311
9,0.9861374
10,1.017769
11,1.075119
12,1.189178
13,1.368446
14,1.46513
15,1.522152
16,1.58041
17,1.609459
18,1.615181
19,1.643845
20,1.695259
21,1.662437
22,1.631821
23,1.603256
24,1.567657
25,1.535309
26,1.473633
27,1.382629
28,1.346771
29,1.259804
30,1.129524
31,1.005005
32,0.8499603
33,0.7089844
34,0.5592346
35,0.3164597
36,0.07766724
37,0.09359741
38,0.2707214
39,0.490593
40,0.7025146
41,0.8751831
42,0.9993515
43,1.080391
44,1.117386
45,1.117783
46,1.085411
47,1.022217
48,0.927002
49,0.8194504
50,0.7179031
51,0.6180954
52,0.5236511
53,0.4416962
54,0.3767395
55,0.3283157
56,0.2931213
57,0.2667847
58,0.2466888
59,0.2309189
60,0.217453
61,0.205162
62,0.1935959
63,0.1824493
64,0.1719055
65,0.1605225
66,0.1520157
67,0.1445236
68,0.1381073
69,0.1328735
70,0.1285324
71,0.125
72,0.1220703
73,0.1195755
74,0.1173782
75,0.1152344
76,0.1131516
77,0.1109009
78,0.1092529
79,0.1074219
80,0.1055527
81,0.103714
82,0.1019821
83,0.1004181
84,0.09868622
85,0.09735107
86,0.09619904
87,0.09490204
88,0.09376526
89,0.09262848
90,0.09149933
91,0.09015656
92,0.08889771
93,0.08757782
94,0.08597565
95,0.08437347
96,0.08241272
97,0.08019257
98,0.07816315
99,0.0759201
100,0.07402802
101,0.07202148
102,0.07007599
103,0.06815338
104,0.06626892
105,0.06413269
106,0.06208038
107,0.05987549
108,0.05734253
109,0.05390167
110,0.04747772
111,0.03157806
112,0.0112915
113,0.002494812
114,0.004333496
115,0.0103302
116,0.01456451
117,0.01773834
118,0.01992798
119,0.02329254
120,0.02552032
121,0.02156067
122,0.02172089
123,0.02599335
124,0.02985382
125,0.03147888
126,0.03066254
127,0.02799988
128,0.02430725
129,0.02016449
130,0.01551056
131,0.01158905
132,0.008010864
133,0.005050659
134,0.002952576
135,0.001159668
136,1.525879E-05
137,0.0007476807
138,0.001106262
139,0.001602173
140,0.001792908
141,0.002326965
142,0.004005432
143,0.008094788
144,0.01966858
145,0.04894257
146,0.07213593
147,0.05015564
148,0.02549744
149,0.007736206
150,0.006980896
151,0.01853943
152,0.02263641
153,0.01746368
154,0.0004272461
155,0.02145386
156,0.02533722
157,0.0144043
158,0.009140015
159,0.01330566
160,0.01139832
161,0.005439758
162,0.004631042
163,0.006317139
164,0.008804321
165,0.01222992
166,0.01725006
167,0.02159882
168,0.02371979
169,0.02385712
170,0.02367401
171,0.02291107
172,0.02243805
173,0.02130127
174,0.01985931
175,0.01797485
176,0.01644897
177,0.0144043
178,0.0123291
179,0.01073456
180,0.008972168
181,0.007621765
182,0.00667572
183,0.005844116
184,0.00504303
185,0.004470825
186,0.004066467
187,0.003387451
188,0.00340271
189,0.00327301
190,0.002983093
191,0.003067017
192,0.00302887
193,0.002708435
195,0.002868652
196,0.002662659
197,0.002700806
198,0.002548218
199,0.002288818
200,0.002342224
201,0.002044678
202,0.002311707
203,0.00177002
204,0.002067566
205,0.001350403
206,0.001930237
207,0.001480103
208,0.001296997
209,0.001312256
210,0.001289368
211,0.001152039
212,0.001022339
213,0.000793457
214,0.0009841919
215,0.0009002686
216,0.0007324219
217,0.0008468628
218,0.00050354
219,0.0007629395
220,0.0005569458
221,0.0007019043
222,0.0003356934
223,0.0007476807
224,0.0001602173
225,0.0004501343
226,0.0005187988
227,0.0005264282
228,0.0001678467
229,0.000328064
230,0.0004577637
231,0.0001678467
232,0.00025177
233,0.0003356934
234,0.0001983643
235,6.103516E-05
236,0.000213623
237,0.000213623
238,7.629395E-05
239,6.103516E-05
240,9.918213E-05
241,0.000213623
242,8.392334E-05
243,1.525879E-05
244,0.0001983643
245,1.525879E-05
246,0.0001678467
247,0.0003585815
248,0.0001754761
249,0.0003356934
250,0.0002059937
251,0.0001296997
252,7.629395E-06
253,0.0002746582
254,3.051758E-05
255,0.0003890991
256,4.577637E-05
257,3.051758E-05
258,0.0001602173
259,7.629395E-06
260,6.103516E-05
261,0.0003433228
262,4.577637E-05
263,0.0001602173
264,0.0001373291
265,0.0002441406
266,5.340576E-05
267,0.0002288818
268,0.0001907349
269,0.00025177
270,7.629395E-06
271,0.0002059937
272,0.0001907349
273,9.918213E-05
274,0.0002746582
275,0.000213623
276,0.0001373291
277,0.0002212524
278,0.0002593994
279,6.866455E-05
280,7.629395E-05
281,0.0003433228
282,0.0001678467
283,0.0003433228
284,0.0001754761
285,0.0002288818
286,0.0001068115
287,5.340576E-05
288,2.288818E-05
289,0.0001525879
290,9.918213E-05
291,0.0002670288
292,9.918213E-05
293,7.629395E-05
294,0.0004730225
295,0.0003051758
296,6.866455E-05
297,0.0005187988
298,0.0004501343
299,0.000289917
300,0.0001754761
301,0.0002212524
302,0.0008087158
303,0.0004653931
304,0.0003433228
305,6.866455E-05
306,0.0002670288
307,0.0002822876
308,0.0001678467
309,0.0002441406
310,0.0002288818
311,0.0006561279
312,0.0004882813
313,0.00025177
314,0.0001525879
315,0.0004501343
316,0.0003128052
317,6.866455E-05
318,6.103516E-05
319,0.0006561279
320,0.000328064
321,6.866455E-05
322,0.0003662109
323,6.866455E-05
324,2.288818E-05
325,0.0001678467
326,0.0003662109
327,9.918213E-05
328,3.814697E-05
329,0.0001296997
330,0.0003509521
331,6.103516E-05
332,6.866455E-05
333,0.000213623
334,9.918213E-05
335,0.0004272461
336,0.0001525879
337,0.0001144409
338,0.000289917
339,0.0006561279
340,0.0002670288
341,0.0002288818
342,0.0003128052
343,0.0002975464
344,2.288818E-05
345,0.0006408691
346,0.0001983643
347,0.0002746582
348,0.0002822876
349,6.866455E-05
350,0.0002059937
351,0.0001296997
352,7.629395E-05
353,0.0002975464
354,9.155273E-05
355,4.577637E-05
356,0.0004196167
357,0.0004730225
358,0.0002365112
359,0.0001296997
360,7.629395E-06
361,0.0004730225
362,0.0005111694
363,6.866455E-05
364,0.000328064
365,0.0002822876
366,0.0001831055
367,0.0002441406
368,0.0001678467
369,0.0005111694
370,0.0004043579
371,0.0001144409
372,0.000213623
373,9.155273E-05
374,3.051758E-05
375,0.0002288818
376,0.000328064
377,0.0001449585
378,0.0002365112
379,6.103516E-05
380,6.103516E-05
381,7.629395E-05
382,0.00050354
383,0.0002670288
384,4.577637E-05
385,3.814697E-05
386,0.000328064
387,0.0004882813
388,2.288818E-05
389,0.0002670288
390,0.0001296997
391,1.525879E-05
392,6.103516E-05
393,7.629395E-06
394,0.0001678467
395,0.0001602173
396,0.0002746582
397,0.0001068115
398,0.0001220703
399,4.577637E-05
400,1.525879E-05
401,0.0001525879
402,0.0002593994
403,0.0001907349
404,0.0001754761
405,4.577637E-05
406,1.525879E-05
407,0.0001983643
408,0.0001220703
409,0.0002746582
410,0.0002288818
411,3.814697E-05
412,0.0001602173
413,0.0005111694
414,0.000213623
415,0.00025177
416,0.0001373291
417,4.577637E-05
418,0.0002365112
419,6.103516E-05
420,0.0002593994
421,0.0003814697
422,3.051758E-05
423,0.0001220703
424,0
425,0.0002593994
426,4.577637E-05
427,6.866455E-05
428,0.0003890991
429,0.0003051758
430,0.0003967285
431,8.392334E-05
432,0.0001831055
433,0.0001296997
434,0.0003585815
435,0.0001220703
436,0.0003051758
437,0.0004196167
438,0.0001373291
439,9.918213E-05
440,9.155273E-05
441,0.0001449585
442,0
443,0.0001068115
444,0.0001068115
445,0.0001678467
446,0.000213623
447,0.0001373291
448,6.866455E-05
449,0.0001449585
450,3.051758E-05
451,0.0002822876
452,7.629395E-06
453,0.0003967285
454,0.0002441406
455,6.866455E-05
456,0.0001602173
457,6.103516E-05
458,0.0003204346
459,7.629395E-05
460,3.814697E-05
461,0.0001525879
462,3.814697E-05
463,7.629395E-05
464,0
465,0.00050354
466,0.000579834
467,0.0004577637
468,0.0001373291
469,0.0001449585
470,0.0001449585
471,0.0003051758
472,1.525879E-05
473,0.0002059937
474,0.0003509521
475,0.0002365112
476,0.0001525879
477,9.918213E-05
478,0.0002212524
479,0.0002288818
480,0.0001525879
481,0.0002441406
482,0.0003509521
483,0.0001602173
484,9.918213E-05
485,5.340576E-05
486,2.288818E-05
487,0.0002593994
488,0.0001296997
489,8.392334E-05
490,0.000328064
491,8.392334E-05
492,0.0002365112
493,3.051758E-05
494,4.577637E-05
495,0.0004348755
496,0.0003585815
497,0.0002365112
498,9.155273E-05
499,0.0004043579
