1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
1,43.05446
2,1.300701
3,0.8925476
4,0.9848251
5,0.9736977
6,0.88731
7,0.8433342
8,0.9544182
9,1.087429
10,1.128349
11,1.185211
12,1.283302
13,1.419395
14,1.509018
15,1.551361
16,1.58667
17,1.604713
18,1.588581
19,1.607468
20,1.637306
21,1.586082
22,1.541946
23,1.48983
24,1.448692
25,1.391403
26,1.267288
27,1.204079
28,1.106316
29,0.9981842
30,0.8341751
31,0.6706772
32,0.5283661
33,0.3345947
34,0.1118774
35,0.07437134
36,0.2503433
37,0.4585037
38,0.6615143
39,0.8350906
40,0.9630203
41,1.049751
42,1.106003
43,1.119652
44,1.08886
45,1.007996
46,0.8889008
47,0.773468
48,0.6537857
49,0.534111
50,0.4230347
51,0.3285828
52,0.2556
53,0.204422
54,0.1712036
55,0.1506119
56,0.1378174
57,0.1294022
58,0.1234207
59,0.1184769
60,0.114151
61,0.1101608
62,0.1062088
63,0.1025696
64,0.09922028
65,0.0953598
66,0.09265137
67,0.09037781
68,0.08812714
69,0.08594513
70,0.0839386
71,0.08188629
72,0.0797348
73,0.07782745
74,0.07611847
75,0.07458496
76,0.07308197
77,0.07191467
78,0.07108307
79,0.07025909
80,0.06982422
81,0.06938934
82,0.0690918
83,0.06887054
84,0.06874847
85,0.06855774
86,0.06832123
87,0.06786346
88,0.06742096
89,0.06668854
90,0.06578827
91,0.064888
92,0.06349182
93,0.06214142
94,0.06051636
95,0.05880737
96,0.05692291
97,0.05489349
98,0.05275726
99,0.05049896
100,0.04786682
101,0.0442276
102,0.03666687
103,0.01982117
104,0.005065918
105,0.0009460449
106,0.005851746
107,0.009460449
108,0.01156616
109,0.01200104
110,0.01145172
111,0.01027679
112,0.008850098
113,0.007347107
114,0.006088257
115,0.005599976
116,0.005203247
117,0.00213623
118,0.002967834
119,0.007034302
120,0.01132202
121,0.01412201
122,0.01528168
123,0.01541901
124,0.01494598
125,0.01411438
126,0.01334381
127,0.01271057
128,0.01221466
129,0.01213837
130,0.01183319
131,0.01196289
132,0.01192474
133,0.01230621
134,0.01234436
135,0.01267242
136,0.01282501
137,0.01292419
138,0.01312256
139,0.01313019
140,0.013237
141,0.01293945
142,0.01186371
143,0.009231567
144,0.006103516
145,0.003158569
146,0.0006637573
147,0.001533508
148,0.002876282
149,0.003929138
150,0.004478455
151,0.005020142
152,0.004776001
153,0.004959106
154,0.005058289
155,0.005096436
156,0.00554657
157,0.006752014
158,0.01080322
159,0.02236938
160,0.05467987
161,0.08808899
162,0.08013153
163,0.05956268
164,0.04051208
165,0.02464294
166,0.01327515
167,0.004989624
168,6.866455E-05
169,0.002449036
170,0.003196716
171,0.0025177
172,0.0007019043
173,0.002059937
174,0.005081177
175,0.009353638
176,0.0146637
177,0.0225296
178,0.03497314
179,0.05455017
180,0.0727005
181,0.06848145
182,0.04244232
183,0.01791382
184,0.003746033
185,0.002784729
186,0.00491333
187,0.005233765
188,0.005981445
189,0.006408691
190,0.005447388
191,0.002426147
192,0.002098083
193,0.00793457
195,0.03115845
196,0.03973389
197,0.02093506
198,0.004371643
199,0.001327515
200,0.003326416
201,0.003395081
202,0.003128052
203,0.001304626
204,0.01432037
205,0.02412415
206,0.02044678
207,0.00894928
208,0.0005950928
209,0.0052948
210,0.006774902
211,0.006759644
212,0.002502441
213,0.007583618
214,0.01454163
215,0.01211548
216,0.003326416
217,0.003082275
218,0.005714417
219,0.005767822
220,0.002281189
221,0.007904053
222,0.01423645
223,0.01180267
224,0.003593445
225,0.002601624
226,0.005096436
227,0.005218506
228,3.051758E-05
229,0.009315491
230,0.01328278
231,0.00894928
232,0.0004882813
233,0.00415802
234,0.006332397
235,0.005157471
236,0.00302887
237,0.01026154
238,0.01133728
239,0.004127502
240,0.002838135
241,0.006591797
242,0.007141113
243,0.001556396
244,0.006950378
245,0.01082611
246,0.007095337
247,0.0007171631
248,0.005577087
249,0.007736206
250,0.004074097
251,0.004333496
252,0.009437561
253,0.00819397
254,0.001037598
255,0.005157471
256,0.007537842
257,0.005317688
258,0.00302887
259,0.008354187
260,0.007987976
261,0.002487183
262,0.004325867
263,0.007644653
264,0.006256104
265,0.001182556
266,0.007247925
267,0.007858276
268,0.00353241
269,0.003814697
270,0.007369995
271,0.006980896
272,0.0003967285
273,0.006309509
274,0.007804871
275,0.003684998
276,0.002861023
277,0.007507324
278,0.007171631
279,0.0006484985
280,0.005867004
281,0.007301331
282,0.004081726
283,0.002410889
284,0.007247925
285,0.007499695
286,0.0007858276
287,0.00566864
288,0.006721497
289,0.004249573
290,0.002433777
291,0.006980896
292,0.007270813
293,0.0008621216
294,0.005134583
295,0.006828308
296,0.004325867
297,0.002540588
298,0.007659912
299,0.006950378
300,0.0003433228
301,0.005226135
302,0.006385803
303,0.003883362
304,0.002349854
305,0.007667542
306,0.006988525
307,0.0002593994
308,0.004852295
309,0.00629425
310,0.003410339
311,0.002830505
312,0.007331848
313,0.007133484
314,0.0003051758
315,0.005401611
316,0.005981445
317,0.003242493
318,0.002693176
319,0.007675171
320,0.006637573
321,0
322,0.005599976
323,0.005714417
324,0.002983093
325,0.003303528
326,0.007728577
327,0.006439209
328,0.001083374
329,0.005393982
330,0.005584717
331,0.0027771
332,0.003761292
333,0.007492065
334,0.006134033
335,0.0009613037
336,0.005355835
337,0.005508423
338,0.0026474
339,0.004463196
340,0.007614136
341,0.005470276
342,0.001312256
343,0.005340576
344,0.00553894
345,0.002288818
346,0.004196167
347,0.007881165
348,0.005363464
349,0.002258301
350,0.005432129
351,0.005493164
352,0.001068115
353,0.004875183
354,0.007575989
355,0.004829407
356,0.002967834
357,0.005744934
358,0.005485535
359,0.0004119873
360,0.005233765
361,0.0078125
362,0.004058838
363,0.002738953
364,0.005569458
365,0.005340576
366,0.0005874634
367,0.005371094
368,0.008018494
369,0.003448486
370,0.002937317
371,0.005897522
372,0.004852295
373,0.000213623
374,0.005714417
375,0.008346558
376,0.002723694
377,0.003547668
378,0.005828857
379,0.004844666
380,0.0007095337
381,0.005592346
382,0.008331299
383,0.001899719
384,0.003807068
385,0.005752563
386,0.004600525
387,0.00100708
388,0.006446838
389,0.007644653
390,0.001205444
391,0.00353241
392,0.006187439
393,0.003997803
394,0.001693726
395,0.00693512
396,0.006797791
397,0.0008163452
398,0.005065918
399,0.005409241
400,0.003715515
401,0.002708435
402,0.007385254
403,0.006332397
404,0.0003204346
405,0.004806519
406,0.006210327
407,0.002891541
408,0.003318787
409,0.007247925
410,0.005935669
411,0.0007019043
412,0.005577087
413,0.005607605
414,0.002189636
415,0.003814697
416,0.007789612
417,0.004737854
418,0.001579285
419,0.005683899
420,0.005401611
421,0.0007095337
422,0.004981995
423,0.007545471
424,0.003517151
425,0.003044128
426,0.005737305
427,0.005126953
428,0.0002059937
429,0.005584717
430,0.007575989
431,0.002868652
432,0.003463745
433,0.005897522
434,0.004684448
435,0.0001831055
436,0.005943298
437,0.007881165
438,0.002075195
439,0.004020691
440,0.005897522
441,0.004554749
442,0.0004653931
443,0.006439209
444,0.007369995
445,0.001815796
446,0.003807068
447,0.006309509
448,0.004264832
449,0.001266479
450,0.006317139
451,0.00693512
452,0.001564026
453,0.00466156
454,0.00541687
455,0.003982544
456,0.001335144
457,0.007026672
458,0.006469727
459,0.001091003
460,0.005020142
461,0.005722046
462,0.003730774
463,0.001853943
464,0.007095337
465,0.006362915
466,0.0001068115
467,0.004814148
468,0.005607605
469,0.00302124
470,0.00214386
471,0.007492065
472,0.006233215
473,0.0007400513
474,0.005012512
475,0.005828857
476,0.002876282
477,0.002494812
478,0.007286072
479,0.006111145
480,0.001365662
481,0.004959106
482,0.005836487
483,0.002357483
484,0.00390625
485,0.007263184
486,0.005142212
487,0.001823425
488,0.005691528
489,0.005722046
490,0.001907349
491,0.004257202
492,0.0076828
493,0.004478455
494,0.002227783
495,0.005256653
496,0.005561829
497,0.001960754
498,0.00428772
499,0.007499695
