1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
1,57.23462
2,1.743347
3,1.272892
4,1.413834
5,1.371841
6,1.210094
7,1.144096
8,1.076118
9,0.9573517
10,1.000183
11,0.8705215
12,0.7794113
13,0.7379761
14,0.6244049
15,0.5790634
16,0.5624237
17,0.5879517
18,0.6707764
19,0.8305283
20,0.9762421
21,1.077873
22,1.077766
23,1.010826
24,0.9460068
25,0.8722305
26,0.7912216
27,0.7201767
28,0.6611557
29,0.6166916
30,0.5806198
31,0.5376968
32,0.4870224
33,0.4360962
34,0.3725891
35,0.3008804
36,0.2236176
37,0.27285
38,0.2409515
39,0.2040405
40,0.2289581
41,0.3243027
42,0.4296799
43,0.5033264
44,0.5385208
45,0.5343094
46,0.5030365
47,0.460083
48,0.4112701
49,0.381752
50,0.3475266
51,0.2565689
52,0.1327515
53,0.004959106
54,0.1367264
55,0.2084808
56,0.2539902
57,0.2927094
58,0.3151169
59,0.3282928
60,0.3305206
61,0.3229294
62,0.3101578
63,0.2836304
64,0.2388687
65,0.1754532
66,0.1043701
67,0.03342438
68,0.02903748
69,0.08000183
70,0.1190796
71,0.1465759
72,0.1631393
73,0.169838
74,0.1670837
75,0.1559143
76,0.1376419
77,0.1143265
78,0.08813477
79,0.06111145
80,0.03488159
81,0.01045227
82,0.01184845
83,0.03227234
84,0.05028534
85,0.06565857
86,0.07765198
87,0.08518982
88,0.08782959
89,0.08596039
90,0.07949066
91,0.07013702
92,0.05872345
93,0.04656219
94,0.03466034
95,0.02336884
96,0.01341248
97,0.004966736
98,0.002243042
99,0.007537842
100,0.01106262
101,0.01329803
102,0.01371765
103,0.01262665
104,0.01071167
105,0.007659912
106,0.003875732
107,8.392334E-05
108,0.004211426
109,0.00819397
110,0.0118103
111,0.01477051
112,0.0173645
113,0.01932526
114,0.02041626
