1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,T,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
0,8.924114
1,2.677208
2,0.9611626
3,1.170292
4,1.066902
5,1.003288
6,1.070107
7,1.059437
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,T,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
0,20.46674
1,2.677208
2,0.9415665
3,1.189888
4,1.066902
5,1.003288
6,1.070107
7,1.059437
8,1.040306
9,1.103218
10,1.206017
11,1.101349
12,1.012367
13,0.9716034
14,0.9732285
15,0.8756027
16,0.7195435
17,0.5687027
18,0.4852905
19,0.409996
20,0.3147659
21,0.2367706
22,0.1804199
23,0.1484528
24,0.1343765
25,0.1434937
26,0.1446228
27,0.1583328
28,0.1528549
29,0.1377716
30,0.1216965
31,0.1154785
32,0.08563995
33,0.07058716
34,0.04563904
35,0.03386688
36,0.02651978
37,0.01538086
38,0.00402832
39,0.0005264282
40,0.007415771
41,0.01287842
42,0.01000214
43,0.006568909
44,0.004104614
45,0.01106262
46,0.02029419
47,0.03411865
48,0.04216766
49,0.05441284
50,0.06935883
51,0.0748291
52,0.08192444
53,0.08560944
54,0.0911026
55,0.0949173
56,0.09138489
57,0.09753418
58,0.08950806
59,0.09233093
60,0.09020233
61,0.08106232
62,0.0790329
63,0.08030701
64,0.07066345
65,0.07032776
66,0.05833435
67,0.05994415
68,0.05435944
69,0.0508194
70,0.04569244
71,0.04418945
72,0.03738403
73,0.0344162
74,0.03154755
75,0.02944183
76,0.02312469
77,0.02184296
78,0.02436829
79,0.01486969
80,0.01833344
81,0.01468658
82,0.009536743
83,0.01422882
84,0.008506775
85,0.003646851
86,0.008155823
87,0.006820679
88,0.006164551
89,0.004203796
90,0.004180908
91,0.006080627
92,0.007133484
93,0.003669739
94,0.002494812
95,0.00176239
96,0.002670288
97,0.006774902
98,0.005302429
99,0.00100708
100,0.000617981
101,0.005653381
102,0.003852844
103,0.000793457
104,0.0009765625
105,0.00428772
106,0.0005722046
107,0.001350403
108,0.003410339
109,0.002494812
110,0.0007476807
111,0.0006103516
112,0.003082275
113,0.003791809
114,0.0006790161
115,0.002593994
116,0.003791809
117,0.0003967285
118,0.0007400513
119,0.004127502
120,0.0008850098
121,0.006011963
122,0.00378418
123,0.004180908
124,0.007392883
125,0.005897522
126,0.005851746
127,0.01364136
128,0.01409149
129,0.01956177
130,0.02577209
131,0.0291748
132,0.02558136
133,0.02851105
134,0.02949524
135,0.03131104
136,0.02648926
137,0.02778625
138,0.02670288
139,0.02259827
140,0.02018738
141,0.0206604
142,0.02055359
143,0.01451111
144,0.01010132
145,0.01582336
146,0.008293152
147,0.008468628
148,0.008934021
149,0.003234863
150,0.005455017
151,0.003242493
152,0.005126953
153,0.0001525879
154,0.002616882
155,0.001937866
156,0.0006027222
157,0.004196167
158,0.003936768
159,0.00894165
160,0.00818634
161,0.01099396
162,0.007957458
163,0.009651184
164,0.01150513
165,0.00592804
166,0.008598328
167,0.004150391
168,0.0006942749
169,0.003013611
170,9.155273E-05
171,0.00213623
172,0.005470276
173,0.00680542
174,0.006614685
175,0.008522034
176,0.007545471
177,0.007904053
178,0.01319885
179,0.01152039
180,0.01169586
181,0.01200867
182,0.01265717
183,0.0161438
184,0.01029968
185,0.01193237
186,0.0147171
187,0.01580811
188,0.01647186
189,0.01252747
190,0.01403046
191,0.01509857
192,0.01628113
193,0.01425934
194,0.01731873
195,0.008102417
196,0.0116806
197,0.01764679
198,0.01174927
199,0.0102005
200,0.01262665
201,0.01029968
202,0.01096344
203,0.01235962
204,0.01037598
205,0.01132965
206,0.007873535
207,0.01078033
208,0.008842468
209,0.007652283
210,0.01668549
211,0.001937866
212,0.01268768
213,0.003684998
214,0.01300049
215,0.009292603
216,0.006118774
217,0.006958008
218,0.01108551
219,0.006141663
220,0.00553894
221,0.007530212
222,0.00643158
223,0.007469177
224,0.003250122
225,0.00970459
226,0.004699707
227,0.00844574
228,0.004943848
229,0.005569458
230,0.004547119
231,0.008201599
232,0.005569458
233,0.003860474
234,0.006217957
235,0.006370544
236,0.006370544
237,0.003585815
238,0.01029968
239,0.001678467
240,0.009262085
241,0.006271362
242,0.006645203
243,0.005500793
244,0.002937317
245,0.007164001
246,0.004585266
247,0.003425598
248,0.00630188
249,0.00554657
250,0.003890991
251,0.003730774
252,0.005989075
253,0.004806519
254,0.004714966
255,0.0006790161
256,0.010849
257,0.001701355
258,0.00592804
259,0.006866455
260,0.0001602173
261,0.00554657
262,0.005218506
263,0.0002746582
264,0.007720947
265,0.002593994
266,0.006004333
267,0.0009231567
268,0.002342224
269,0.005004883
270,0.004226685
271,0.003875732
272,0.002609253
273,0.001983643
274,0.005851746
275,0.002639771
276,0.00252533
277,0.002090454
278,0.001213074
279,0.004562378
280,0.003631592
281,0.002830505
282,0.007896423
283,0.002914429
284,0.003662109
285,0.003761292
286,0.001335144
287,0.005363464
288,0.002754211
289,0.003082275
290,0.004234314
291,0.002326965
292,0.0009155273
293,0.003585815
294,0.001144409
295,0.00592804
296,0.003967285
297,0.00227356
298,0.0009078979
299,0.0007019043
300,0.004936218
301,0.002258301
302,0.002494812
303,0.001159668
304,0.006744385
305,0.003105164
306,0.0027771
307,0.003051758
308,0.001983643
309,0.003166199
310,0.002914429
311,0.004203796
312,0.000617981
313,0.005050659
314,0.002204895
315,0.001350403
316,0.002830505
317,0.003997803
318,0.003303528
319,0.0008926392
320,0.006507874
321,0.0007247925
322,0.002464294
323,0.002967834
324,0.003852844
325,0.0076828
326,0.005653381
327,0.008232117
328,7.629395E-06
329,0.006523132
330,0.001441956
331,0.003196716
332,0.003417969
333,0.001266479
334,0.004928589
335,0.004333496
336,0.003967285
337,0.005699158
338,0.003135681
339,0.002861023
340,0.008224487
341,0.002716064
342,0.007843018
343,0.00403595
344,0.006256104
345,0.007659912
346,0.004859924
347,0.003204346
348,0.008079529
349,0.004829407
350,0.007263184
351,0.006660461
352,0.009643555
353,0.00365448
354,0.007637024
355,0.006690979
356,0.007133484
357,0.006507874
358,0.01058197
359,0.01058197
360,0.009124756
361,0.0100708
362,0.007545471
363,0.01322174
364,0.004730225
365,0.01391602
366,0.008621216
367,0.01008606
368,0.01429749
369,0.009819031
370,0.01140594
371,0.00994873
372,0.01212311
373,0.01108551
374,0.01138306
375,0.01508331
376,0.009056091
377,0.01463318
378,0.01415253
379,0.01078033
380,0.01542664
381,0.008598328
382,0.01422119
383,0.01303864
384,0.01106262
385,0.01416779
386,0.009895325
387,0.01766968
388,0.01019287
389,0.01467133
390,0.01058197
391,0.01082611
392,0.01107025
393,0.01212311
394,0.01635742
395,0.008529663
396,0.007331848
397,0.01663971
398,0.009475708
399,0.010849
400,0.0116806
401,0.01004028
402,0.01006317
403,0.007293701
404,0.01215363
405,0.006599426
406,0.01032257
407,0.00592804
408,0.009384155
409,0.01115417
410,0.01042938
411,0.006790161
412,0.003189087
413,0.008972168
414,0.01071167
415,0.002555847
416,0.01035309
417,0.004432678
418,0.00478363
419,0.008529663
420,0.003807068
421,0.004508972
422,0.01077271
423,0.001495361
424,0.007492065
425,0.005950928
426,0.009048462
427,0.004447937
428,0.00579834
429,0.001564026
430,0.003425598
431,0.005813599
432,0.00806427
433,0.004318237
434,0.004676819
435,0.001701355
436,0.003700256
437,0.01017761
438,0.00201416
439,0.006523132
440,0.00226593
441,0.01194
442,0.005073547
443,0.006088257
444,0.004875183
445,0.004379272
446,0.002059937
447,0.004241943
448,0.0027771
449,0.005645752
450,0.006721497
451,0.002304077
452,0.005477905
453,0.0001754761
454,0.004112244
455,0.001953125
456,0.007133484
457,0.001480103
458,0.002304077
459,0.008010864
460,0.00125885
461,0.005821228
462,0.001358032
463,0.002807617
464,0.003219604
465,0.002098083
466,0.00440979
467,0.001426697
468,0.002212524
469,0.001983643
470,0.001953125
471,0.003952026
472,0.001655579
473,0.001701355
474,0.0003433228
475,0.004806519
476,0.003211975
477,0.0006408691
478,0.003166199
479,0.001251221
480,0.002861023
481,0.003211975
482,0.0008850098
483,0.001525879
484,0.002159119
485,0.00553894
486,0.003639221
487,0.00592041
488,0.002075195
489,0.001853943
490,0.00327301
491,0.001777649
492,0.002281189
493,0.005310059
494,0.003013611
495,0.001213074
496,0.0006256104
497,6.866455E-05
498,0.002349854
499,0.004852295
500,0.001953125
501,0.002868652
502,0.001091003
503,0.0009613037
504,0.006355286
505,0.00202179
506,0.003540039
507,0.0009765625
508,0.001411438
509,0.004562378
510,0.001693726
511,0.00113678
512,0.001960754
513,0.001106262
514,1.525879E-05
515,0.004867554
516,0.003128052
517,0.00189209
518,0.003684998
519,0.001159668
520,0.002815247
521,0.00151825
522,0.0003128052
523,0.003013611
524,0.001174927
525,0.0007553101
526,0.0008010864
527,0.002532959
528,0.003829956
529,0.002075195
530,0.0009460449
531,0.0005493164
532,0.002487183
533,0.001472473
534,0.0007705688
535,0.0003204346
536,0.003326416
537,0.0004425049
538,0.0008926392
539,0.001296997
540,0.002555847
541,0.00163269
542,0.003234863
543,0.0001068115
544,0.002616882
545,0.001304626
546,0.00491333
547,0.005783081
548,0.006561279
549,7.629395E-05
550,0.0004043579
551,0.002220154
552,0.0006637573
553,0.0002822876
554,0.001014709
555,0.0004653931
556,0.0004501343
557,0.001472473
558,0.001968384
559,0.002983093
560,0.0003967285
561,0.001502991
562,0.0006713867
563,0.0025177
564,0.00327301
565,0.001068115
566,6.866455E-05
567,0.0008468628
568,0.006408691
569,0.001342773
570,0.005935669
571,0.007347107
572,0.009010315
573,0.008338928
574,0.01139832
575,0.01200104
576,0.01059723
577,0.01272583
578,0.005706787
579,0.009437561
580,0.007759094
581,0.002174377
582,0.002105713
583,0.001251221
584,0.0007629395
585,0.001228333
586,0.003318787
587,0.002990723
588,0.009117126
589,0.007835388
590,0.005859375
591,0.003883362
592,0.01140594
593,0.003036499
594,0.01049805
595,0.007987976
596,0.006378174
597,0.008010864
598,0.004219055
599,0.00328064
600,0.005111694
601,0.004013062
602,0.0001144409
603,0.001708984
604,0.004165649
605,0.002090454
606,0.00491333
607,0.0003967285
608,0.001373291
609,0.007019043
610,0.0009689331
611,0.001586914
612,0.004180908
613,0.003868103
614,0.007385254
615,0.004440308
616,0.000793457
617,0.003395081
618,0.001396179
619,0.003471375
620,7.629395E-05
621,0.001701355
622,0.001625061
623,0.0001678467
624,0.002815247
625,0.0008926392
626,0.0003967285
627,0.00151825
628,0.0003814697
629,0.004493713
630,0.003868103
631,0.0009307861
632,0.002296448
633,0.0006942749
634,0.002334595
635,0.002372742
636,0.001579285
637,0.002304077
638,0.0007095337
639,0.001174927
640,0.001907349
641,0.001693726
642,0.003105164
643,0.002120972
644,0.003990173
645,0.006645203
646,0.00113678
647,6.103516E-05
648,0.000213623
