1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
R,0,0,0,0,0,1,1,1,0,0,1,1,1,0,L,
R,0,0,0,0,0,1,1,1,0,0,1,1,1,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,1,1,1,0,0,1,1,1,0,R,
1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,R,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
1,32.9683
2,1.257896
3,1.16748
4,1.220898
5,1.2761
6,1.265591
7,1.196022
8,1.102119
9,1.028934
10,0.9980469
11,1.013866
12,1.049435
13,1.082047
14,1.087624
15,1.090969
16,1.115788
17,1.142902
18,1.110847
19,1.061043
20,1.019176
21,0.9199715
22,0.7723808
23,0.593441
24,0.4237862
25,0.329319
26,0.227459
27,0.113327
28,0.06717682
29,0.004459381
30,0.07304001
31,0.1276016
32,0.1507607
33,0.2136803
34,0.3044968
35,0.3392143
36,0.3686523
37,0.3967018
38,0.4130859
39,0.4115372
40,0.4062347
41,0.3930588
42,0.3727036
43,0.3414268
44,0.2963409
45,0.2514
46,0.210083
47,0.1643181
48,0.1246872
49,0.1150208
50,0.1206017
51,0.1329422
52,0.1456833
53,0.1631355
54,0.1913338
55,0.2204971
56,0.2415466
57,0.2536736
58,0.263958
59,0.2716331
60,0.2734222
61,0.2696152
62,0.22966
63,0.116745
64,0.03899002
65,0.0308342
66,0.08966446
67,0.1291924
68,0.170578
69,0.1892929
70,0.2148285
71,0.2711067
72,0.3115921
73,0.3181076
74,0.2800598
75,0.2041435
76,0.1799507
77,0.1385498
78,0.07360077
79,0.04959106
80,0.01999664
81,0.01538086
82,0.02428818
83,0.03200912
84,0.07408142
