1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,T,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Time , DeltaVelocity
0,42.70559
0,0.9418488
0,0.01980209
0,0.03123856
0,0.04987335
0,0.05986786
0,0.06895065
0,0.07281876
0,0.07530975
0,0.0787468
0,0.07810211
0,0.07868195
0,0.07892227
0,0.07607651
0,0.07598877
0,0.07669067
1,0.07369614
1,0.07588959
1,0.07617569
1,0.07780457
1,0.1118546
1,0.1334114
1,0.1336708
1,0.136322
1,0.1398125
1,0.1386871
1,0.138195
1,0.143425
1,0.1428604
1,0.1411476
1,0.1377945
1,0.1381187
1,0.1353569
2,0.1338882
2,0.1293488
2,0.1307755
2,0.1275063
2,0.127636
2,0.1250343
2,0.1251869
2,0.123436
2,0.1209145
2,0.1220627
2,0.1205139
2,0.1207924
2,0.118969
2,0.1191025
2,0.1187363
2,0.1175385
3,0.1180573
3,0.1183243
3,0.1181564
3,0.1189957
3,0.1209488
3,0.1214676
3,0.1224747
3,0.1249466
3,0.1232834
3,0.1261063
3,0.1267014
3,0.1260834
3,0.124649
3,0.123764
3,0.125679
3,0.1235428
3,0.1211472
4,0.1209641
4,0.1212463
4,0.1194077
4,0.119194
4,0.1179428
4,0.1165314
4,0.1153259
4,0.1118851
4,0.1130447
4,0.1091385
4,0.1109314
4,0.1131287
4,0.1136703
4,0.1145554
4,0.1141357
4,0.1144791
5,0.1143875
5,0.1139679
5,0.1147995
5,0.1153641
5,0.117012
5,0.1181946
5,0.1215057
5,0.1206512
5,0.1270294
5,0.1275864
5,0.1311646
5,0.1304092
5,0.1312027
5,0.1313095
5,0.1307449
5,0.1304016
6,0.1303558
6,0.1272354
6,0.1266403
6,0.1269684
6,0.1272812
6,0.127388
6,0.1258392
6,0.1256256
6,0.1244888
6,0.1242065
6,0.1229019
6,0.1220856
6,0.1212387
6,0.1197586
6,0.1187363
6,0.1192474
6,0.1170731
7,0.1180267
7,0.1179047
7,0.1177216
7,0.1169052
7,0.114296
7,0.1175537
7,0.1142349
7,0.1166229
7,0.1166077
7,0.1161804
7,0.1163788
7,0.1159973
7,0.1200333
7,0.1252823
7,0.1250534
7,0.123024
8,0.1229324
8,0.1249084
8,0.1242142
8,0.1225204
8,0.1239243
8,0.1220932
8,0.1235962
8,0.1210632
8,0.122818
8,0.1229477
8,0.1222229
8,0.1220169
8,0.1191406
8,0.118515
8,0.1178589
8,0.1199799
8,0.1188278
9,0.1177216
9,0.1178207
9,0.1167526
9,0.1160202
9,0.1149445
9,0.1142731
9,0.1114197
9,0.1126709
9,0.1113663
9,0.1089325
9,0.1081467
9,0.1089249
9,0.108429
9,0.1075668
9,0.105278
9,0.1060715
10,0.1035538
10,0.1050491
10,0.104332
10,0.10392
10,0.1020966
10,0.1032104
10,0.1028671
10,0.1017838
10,0.1020508
10,0.0969162
10,0.09819031
10,0.09580994
10,0.09809113
10,0.09638214
10,0.0943985
10,0.09474182
10,0.0933609
11,0.08950043
11,0.08984375
11,0.08876801
11,0.08746338
11,0.08653259
11,0.08512878
11,0.0841217
11,0.08293152
11,0.0818634
11,0.08269501
11,0.08113861
11,0.07833862
11,0.07789612
11,0.0777359
11,0.07594299
11,0.07582855
11,0.07384491
12,0.07402039
12,0.07133484
12,0.07003021
12,0.07118988
12,0.07010651
12,0.06751251
12,0.06879425
12,0.06476593
12,0.06650543
12,0.06535339
12,0.06356812
12,0.06140137
12,0.06190491
12,0.06023407
12,0.05953979
12,0.06038666
13,0.058815
13,0.05783844
13,0.05490875
13,0.05602264
13,0.05482483
13,0.05217743
13,0.05260468
13,0.05205536
13,0.0506134
13,0.04989624
13,0.04882813
13,0.04906464
13,0.04803467
13,0.04644775
13,0.04582214
13,0.04574585
13,0.04445648
14,0.04308319
14,0.04327393
14,0.04342651
14,0.04211426
14,0.04209137
14,0.04005432
14,0.039505
14,0.03983307
14,0.03852081
14,0.03799438
14,0.03746796
14,0.03682709
14,0.03666687
14,0.03557587
14,0.03553009
14,0.03424835
15,0.03469849
15,0.03369904
15,0.03308868
15,0.03439331
15,0.03283691
15,0.03276825
15,0.0324173
15,0.03333282
15,0.03210449
15,0.03285217
15,0.0317688
15,0.03244019
15,0.03166962
15,0.03112793
15,0.03101349
15,0.03013611
15,0.03031921
16,0.02940369
16,0.02937317
16,0.02709198
16,0.02773285
16,0.02722931
16,0.02575684
16,0.02548981
16,0.02468872
16,0.02371216
16,0.02342224
16,0.02263641
16,0.0220108
16,0.0209198
16,0.02088928
16,0.01944733
16,0.01892853
16,0.01831818
17,0.01805878
17,0.01698303
17,0.01659393
17,0.01552582
17,0.01535797
17,0.01442719
17,0.01374054
17,0.01300049
17,0.01270294
17,0.0121994
17,0.01104736
17,0.01087952
17,0.01030731
17,0.009872437
17,0.008888245
17,0.008895874
18,0.007965088
18,0.007736206
18,0.006889343
18,0.006240845
